idcliente;retorno_fornecedora
32311;10 - Cancelado
32329;13 - Denunciado - Compensação
32367;10 - Cancelado
32376;13 - Denunciado - Compensação
32402;13 - Denunciado - Compensação
32414;10 - Cancelado
32422;10 - Cancelado
32431;10 - Cancelado
32451;10 - Cancelado
32458;10 - Cancelado
32465;13 - Denunciado - Compensação
32516;10 - Cancelado
32581;13 - Denunciado - Compensação
32583;10 - Cancelado
32706;10 - Cancelado
32751;10 - Cancelado
32833;10 - Cancelado
32930;10 - Cancelado
32951;10 - Cancelado
32967;10 - Cancelado
32982;10 - Cancelado
33031;10 - Cancelado
33177;10 - Cancelado
33189;10 - Cancelado
33207;10 - Cancelado
33217;10 - Cancelado
33227;10 - Cancelado
33289;10 - Cancelado
33305;10 - Cancelado
33325;10 - Cancelado
33336;10 - Cancelado
33337;10 - Cancelado
33366;10 - Cancelado
33391;10 - Cancelado
33423;10 - Cancelado
33442;10 - Cancelado
33450;10 - Cancelado
33456;10 - Cancelado
33458;10 - Cancelado
33612;10 - Cancelado
33745;10 - Cancelado
33815;10 - Cancelado
33908;10 - Cancelado
33966;10 - Cancelado
33970;10 - Cancelado
33973;10 - Cancelado
33977;13 - Denunciado - Compensação
33986;10 - Cancelado
33997;10 - Cancelado
34024;10 - Cancelado
34059;10 - Cancelado
34066;10 - Cancelado
34069;10 - Cancelado
34176;10 - Cancelado
34178;10 - Cancelado
34181;10 - Cancelado
34199;13 - Denunciado - Compensação
34230;10 - Cancelado
34259;10 - Cancelado
34270;13 - Denunciado - Compensação
34271;13 - Denunciado - Compensação
34280;10 - Cancelado
34295;10 - Cancelado
34302;10 - Cancelado
34361;10 - Cancelado
34364;10 - Cancelado
34373;10 - Cancelado
34391;10 - Cancelado
34439;10 - Cancelado
34460;10 - Cancelado
34516;13 - Denunciado - Compensação
34526;10 - Cancelado
34531;10 - Cancelado
34611;10 - Cancelado
34616;10 - Cancelado
34622;10 - Cancelado
34662;10 - Cancelado
34722;10 - Cancelado
34785;10 - Cancelado
34849;10 - Cancelado
34954;10 - Cancelado
34976;10 - Cancelado
34983;10 - Cancelado
34993;10 - Cancelado
35006;13 - Denunciado - Compensação
35053;10 - Cancelado
35178;10 - Cancelado
35208;10 - Cancelado
35221;10 - Cancelado
35259;10 - Cancelado
35294;10 - Cancelado
35354;10 - Cancelado
35401;10 - Cancelado
35408;10 - Cancelado
35413;10 - Cancelado
35483;10 - Cancelado
35489;10 - Cancelado
35513;10 - Cancelado
35590;10 - Cancelado
35619;10 - Cancelado
35624;10 - Cancelado
35674;10 - Cancelado
35675;10 - Cancelado
35714;10 - Cancelado
35789;10 - Cancelado
35800;10 - Cancelado
35849;10 - Cancelado
35896;10 - Cancelado
35952;10 - Cancelado
35953;10 - Cancelado
35956;10 - Cancelado
35957;10 - Cancelado
35972;13 - Denunciado - Compensação
35992;10 - Cancelado
35993;10 - Cancelado
36037;10 - Cancelado
36053;10 - Cancelado
36064;10 - Cancelado
36096;10 - Cancelado
36107;10 - Cancelado
36120;10 - Cancelado
36123;10 - Cancelado
36197;10 - Cancelado
36268;10 - Cancelado
36292;10 - Cancelado
36355;10 - Cancelado
36362;10 - Cancelado
36382;10 - Cancelado
36397;10 - Cancelado
36404;10 - Cancelado
36407;10 - Cancelado
36417;10 - Cancelado
36439;10 - Cancelado
36444;10 - Cancelado
36500;10 - Cancelado
36504;10 - Cancelado
36513;10 - Cancelado
36515;10 - Cancelado
36548;10 - Cancelado
36559;10 - Cancelado
36610;10 - Cancelado
36665;10 - Cancelado
36672;10 - Cancelado
36706;10 - Cancelado
36717;10 - Cancelado
36744;10 - Cancelado
36749;10 - Cancelado
36791;10 - Cancelado
36822;10 - Cancelado
36828;10 - Cancelado
36831;10 - Cancelado
36832;10 - Cancelado
36850;10 - Cancelado
36863;10 - Cancelado
36866;10 - Cancelado
36890;10 - Cancelado
36909;10 - Cancelado
36949;10 - Cancelado
36980;10 - Cancelado
37002;13 - Denunciado - Compensação
37007;10 - Cancelado
37020;10 - Cancelado
37036;10 - Cancelado
37072;10 - Cancelado
37110;10 - Cancelado
37118;10 - Cancelado
37162;10 - Cancelado
37166;10 - Cancelado
37201;10 - Cancelado
37221;10 - Cancelado
37260;10 - Cancelado
37266;10 - Cancelado
37294;10 - Cancelado
37325;13 - Denunciado - Compensação
37327;10 - Cancelado
37346;10 - Cancelado
37364;10 - Cancelado
37366;10 - Cancelado
37402;10 - Cancelado
37408;10 - Cancelado
37417;10 - Cancelado
37420;10 - Cancelado
37427;10 - Cancelado
37440;10 - Cancelado
37483;10 - Cancelado
37491;10 - Cancelado
37498;10 - Cancelado
37501;10 - Cancelado
37517;10 - Cancelado
37549;10 - Cancelado
37582;10 - Cancelado
37606;10 - Cancelado
37626;10 - Cancelado
37628;10 - Cancelado
37632;10 - Cancelado
37654;10 - Cancelado
37716;10 - Cancelado
37718;10 - Cancelado
37742;10 - Cancelado
37788;13 - Denunciado - Compensação
37813;10 - Cancelado
37819;10 - Cancelado
37860;10 - Cancelado
37870;10 - Cancelado
37899;10 - Cancelado
37910;10 - Cancelado
37913;10 - Cancelado
37918;10 - Cancelado
37934;10 - Cancelado
37940;10 - Cancelado
37992;10 - Cancelado
38075;10 - Cancelado
38118;10 - Cancelado
38166;10 - Cancelado
38167;10 - Cancelado
38191;10 - Cancelado
38207;10 - Cancelado
38256;13 - Denunciado - Compensação
38257;10 - Cancelado
38281;10 - Cancelado
38298;10 - Cancelado
38346;10 - Cancelado
38347;10 - Cancelado
38380;10 - Cancelado
38388;10 - Cancelado
38399;10 - Cancelado
38407;13 - Denunciado - Compensação
38410;10 - Cancelado
38492;10 - Cancelado
38628;10 - Cancelado
38646;10 - Cancelado
38681;10 - Cancelado
38708;10 - Cancelado
38710;10 - Cancelado
38719;10 - Cancelado
38787;10 - Cancelado
38815;10 - Cancelado
38816;10 - Cancelado
38904;10 - Cancelado
38917;10 - Cancelado
38927;10 - Cancelado
38944;10 - Cancelado
38951;10 - Cancelado
38952;10 - Cancelado
38953;10 - Cancelado
38958;10 - Cancelado
38987;10 - Cancelado
38988;10 - Cancelado
39019;10 - Cancelado
39035;10 - Cancelado
39088;10 - Cancelado
39119;10 - Cancelado
39135;10 - Cancelado
39162;10 - Cancelado
39170;10 - Cancelado
39175;10 - Cancelado
39177;10 - Cancelado
39213;10 - Cancelado
39224;10 - Cancelado
39236;10 - Cancelado
39245;10 - Cancelado
39256;10 - Cancelado
39280;10 - Cancelado
39283;10 - Cancelado
39294;10 - Cancelado
39336;10 - Cancelado
39341;10 - Cancelado
39352;10 - Cancelado
39399;10 - Cancelado
39446;10 - Cancelado
39486;10 - Cancelado
39494;10 - Cancelado
39541;10 - Cancelado
39542;10 - Cancelado
39552;10 - Cancelado
39598;10 - Cancelado
39612;10 - Cancelado
39736;10 - Cancelado
39737;10 - Cancelado
39738;10 - Cancelado
39795;10 - Cancelado
39804;10 - Cancelado
39833;10 - Cancelado
39870;10 - Cancelado
39881;10 - Cancelado
39885;10 - Cancelado
39924;10 - Cancelado
39942;10 - Cancelado
39957;10 - Cancelado
40017;10 - Cancelado
40044;10 - Cancelado
40057;10 - Cancelado
40063;10 - Cancelado
40220;10 - Cancelado
40279;10 - Cancelado
40292;10 - Cancelado
40380;10 - Cancelado
40398;10 - Cancelado
40413;10 - Cancelado
40530;10 - Cancelado
40548;10 - Cancelado
40610;10 - Cancelado
40640;10 - Cancelado
40678;10 - Cancelado
40728;10 - Cancelado
40732;10 - Cancelado
40761;10 - Cancelado
40781;10 - Cancelado
40782;10 - Cancelado
40787;10 - Cancelado
40803;10 - Cancelado
40884;10 - Cancelado
40985;10 - Cancelado
41001;10 - Cancelado
41011;10 - Cancelado
41059;10 - Cancelado
41063;10 - Cancelado
41111;10 - Cancelado
41113;10 - Cancelado
41156;10 - Cancelado
41177;10 - Cancelado
41304;10 - Cancelado
41315;10 - Cancelado
41384;10 - Cancelado
41388;10 - Cancelado
41412;10 - Cancelado
41507;10 - Cancelado
41553;10 - Cancelado
41590;10 - Cancelado
41601;10 - Cancelado
41608;10 - Cancelado
41615;10 - Cancelado
41666;10 - Cancelado
41792;10 - Cancelado
41810;10 - Cancelado
41863;10 - Cancelado
41867;13 - Denunciado - Compensação
41888;10 - Cancelado
41917;10 - Cancelado
42018;10 - Cancelado
42085;10 - Cancelado
42128;10 - Cancelado
42187;10 - Cancelado
42296;10 - Cancelado
42308;10 - Cancelado
42338;10 - Cancelado
42348;10 - Cancelado
42356;10 - Cancelado
42464;10 - Cancelado
42614;10 - Cancelado
42781;10 - Cancelado
42873;10 - Cancelado
42937;10 - Cancelado
43019;10 - Cancelado
43058;10 - Cancelado
43176;10 - Cancelado
43272;10 - Cancelado
43302;10 - Cancelado
43307;10 - Cancelado
43308;10 - Cancelado
43310;10 - Cancelado
43320;10 - Cancelado
43350;10 - Cancelado
43355;10 - Cancelado
43369;10 - Cancelado
43456;10 - Cancelado
43578;10 - Cancelado
43599;10 - Cancelado
43620;10 - Cancelado
43623;10 - Cancelado
43624;10 - Cancelado
43646;10 - Cancelado
43659;10 - Cancelado
43663;10 - Cancelado
43670;10 - Cancelado
43677;10 - Cancelado
43702;10 - Cancelado
43703;10 - Cancelado
43704;10 - Cancelado
43706;10 - Cancelado
43749;10 - Cancelado
43754;10 - Cancelado
43784;10 - Cancelado
43813;10 - Cancelado
43883;10 - Cancelado
43893;10 - Cancelado
43930;10 - Cancelado
43947;10 - Cancelado
43973;10 - Cancelado
44025;10 - Cancelado
44060;10 - Cancelado
44067;10 - Cancelado
44076;10 - Cancelado
44084;10 - Cancelado
44092;10 - Cancelado
44094;10 - Cancelado
44152;10 - Cancelado
44154;10 - Cancelado
44173;10 - Cancelado
44226;10 - Cancelado
44259;10 - Cancelado
44269;10 - Cancelado
44289;10 - Cancelado
44294;10 - Cancelado
44300;10 - Cancelado
44327;10 - Cancelado
44337;10 - Cancelado
44346;10 - Cancelado
44356;10 - Cancelado
44391;10 - Cancelado
44431;10 - Cancelado
44455;10 - Cancelado
44509;10 - Cancelado
44598;10 - Cancelado
44618;10 - Cancelado
44622;10 - Cancelado
44663;10 - Cancelado
44714;10 - Cancelado
44790;10 - Cancelado
44802;10 - Cancelado
44805;10 - Cancelado
44824;10 - Cancelado
44836;10 - Cancelado
44837;10 - Cancelado
44840;13 - Denunciado - Compensação
44958;10 - Cancelado
44982;10 - Cancelado
45031;10 - Cancelado
45041;10 - Cancelado
45062;10 - Cancelado
45097;10 - Cancelado
45103;10 - Cancelado
45124;10 - Cancelado
45147;10 - Cancelado
45150;10 - Cancelado
45157;10 - Cancelado
45160;10 - Cancelado
45215;10 - Cancelado
45226;10 - Cancelado
45259;10 - Cancelado
45305;10 - Cancelado
45310;10 - Cancelado
45321;10 - Cancelado
45328;10 - Cancelado
45335;10 - Cancelado
45357;10 - Cancelado
45437;10 - Cancelado
45476;10 - Cancelado
45504;10 - Cancelado
45522;10 - Cancelado
45539;10 - Cancelado
45561;10 - Cancelado
45562;10 - Cancelado
45573;10 - Cancelado
45612;10 - Cancelado
45668;10 - Cancelado
45684;10 - Cancelado
45755;10 - Cancelado
45759;10 - Cancelado
45764;10 - Cancelado
45821;10 - Cancelado
45822;10 - Cancelado
45831;10 - Cancelado
45857;10 - Cancelado
45862;10 - Cancelado
45868;10 - Cancelado
45875;10 - Cancelado
45880;10 - Cancelado
45890;10 - Cancelado
45893;10 - Cancelado
45912;10 - Cancelado
45938;10 - Cancelado
45941;10 - Cancelado
45958;10 - Cancelado
45977;10 - Cancelado
45997;10 - Cancelado
46032;13 - Denunciado - Compensação
46042;10 - Cancelado
46126;10 - Cancelado
46147;10 - Cancelado
46154;10 - Cancelado
46204;10 - Cancelado
46228;10 - Cancelado
46229;10 - Cancelado
46230;10 - Cancelado
46247;10 - Cancelado
46251;10 - Cancelado
46269;10 - Cancelado
46342;10 - Cancelado
46352;10 - Cancelado
46353;10 - Cancelado
46375;10 - Cancelado
46423;10 - Cancelado
46427;10 - Cancelado
46436;10 - Cancelado
46527;10 - Cancelado
46542;10 - Cancelado
46557;10 - Cancelado
46559;10 - Cancelado
46565;10 - Cancelado
46575;10 - Cancelado
46576;10 - Cancelado
46590;10 - Cancelado
46604;10 - Cancelado
46634;10 - Cancelado
46673;10 - Cancelado
46712;10 - Cancelado
46736;10 - Cancelado
46774;10 - Cancelado
46781;10 - Cancelado
46802;10 - Cancelado
46830;10 - Cancelado
46874;10 - Cancelado
46876;10 - Cancelado
46942;10 - Cancelado
46958;10 - Cancelado
46970;10 - Cancelado
46998;10 - Cancelado
47027;10 - Cancelado
47063;10 - Cancelado
47108;10 - Cancelado
47117;10 - Cancelado
47118;10 - Cancelado
47124;10 - Cancelado
47128;10 - Cancelado
47153;10 - Cancelado
47190;10 - Cancelado
47192;10 - Cancelado
47203;10 - Cancelado
47204;10 - Cancelado
47226;10 - Cancelado
47258;10 - Cancelado
47336;10 - Cancelado
47348;10 - Cancelado
47362;10 - Cancelado
47404;10 - Cancelado
47427;10 - Cancelado
47436;10 - Cancelado
47458;10 - Cancelado
47541;10 - Cancelado
47556;10 - Cancelado
47570;10 - Cancelado
47606;10 - Cancelado
47666;10 - Cancelado
47672;10 - Cancelado
47798;10 - Cancelado
47828;10 - Cancelado
47829;10 - Cancelado
47841;10 - Cancelado
47843;10 - Cancelado
47871;10 - Cancelado
47918;10 - Cancelado
47941;10 - Cancelado
47945;10 - Cancelado
47956;10 - Cancelado
47958;10 - Cancelado
47968;10 - Cancelado
